,chembl_id,Predicted_Value
300,CHEMBL1200586,[np.float32(4.1695457)]
301,CHEMBL315795,[np.float32(3.8774672)]
302,CHEMBL2205807,[np.float32(3.8255897)]
303,CHEMBL1201168,[np.float32(3.8016043)]
304,CHEMBL3989777,[np.float32(3.5482454)]
305,CHEMBL1169,[np.float32(3.3481789)]
306,CHEMBL501,[np.float32(3.2892718)]
307,CHEMBL64,[np.float32(3.0418096)]
308,CHEMBL690,[np.float32(nan)]
309,CHEMBL1422,[np.float32(8.1840515)]
310,CHEMBL433,[np.float32(nan)]
311,CHEMBL3544914,[np.float32(7.709233)]
312,CHEMBL3989562,[np.float32(7.2606683)]
313,CHEMBL116,[np.float32(7.164354)]
314,CHEMBL1651998,[np.float32(7.099805)]
315,CHEMBL1189679,[np.float32(7.0958314)]
316,CHEMBL1595,[np.float32(7.0107207)]
317,CHEMBL1341,[np.float32(6.8636026)]
318,CHEMBL1205,[np.float32(6.8147883)]
319,CHEMBL1200810,[np.float32(6.7592683)]
320,CHEMBL406393,[np.float32(6.7394533)]
321,CHEMBL1098,[np.float32(6.725082)]
322,CHEMBL4594350,[np.float32(6.560366)]
323,CHEMBL557555,[np.float32(6.4737854)]
324,CHEMBL450,[np.float32(6.454772)]
325,CHEMBL981,[np.float32(6.3162365)]
326,CHEMBL3137312,[np.float32(6.202404)]
327,CHEMBL1059,[np.float32(6.149009)]
328,CHEMBL1201275,[np.float32(6.0526114)]
329,CHEMBL1697733,[np.float32(5.965732)]
330,CHEMBL6966,[np.float32(5.8770704)]
331,CHEMBL1510,[np.float32(5.8764944)]
332,CHEMBL251940,[np.float32(5.8163176)]
333,CHEMBL2218878,[np.float32(5.7124634)]
334,CHEMBL1535,[np.float32(5.703864)]
335,CHEMBL1716,[np.float32(5.65669)]
336,CHEMBL1469,[np.float32(5.651142)]
337,CHEMBL925,[np.float32(5.631745)]
338,CHEMBL316561,[np.float32(5.618533)]
339,CHEMBL514800,[np.float32(5.5767155)]
340,CHEMBL86882,[np.float32(5.565461)]
341,CHEMBL1201147,[np.float32(5.4072886)]
342,CHEMBL40,[np.float32(5.3469267)]
343,CHEMBL1200473,[np.float32(5.1920376)]
344,CHEMBL127,[np.float32(4.8947983)]
345,CHEMBL797,[np.float32(4.6195226)]
346,CHEMBL278819,[np.float32(4.539068)]
347,CHEMBL1200569,[np.float32(4.433843)]
348,CHEMBL249856,[np.float32(4.0435567)]
349,CHEMBL1349,[np.float32(3.6576939)]
350,CHEMBL198362,[np.float32(3.6505644)]
351,CHEMBL113,[np.float32(3.2990663)]
352,CHEMBL945,[np.float32(3.0694098)]
353,CHEMBL1160819,[np.float32(-2.2125154)]
354,CHEMBL1200930,[np.float32(nan)]
355,CHEMBL384467,[np.float32(8.69016)]
356,CHEMBL1517,[np.float32(7.717894)]
357,CHEMBL1200855,[np.float32(nan)]
358,CHEMBL1230314,[np.float32(7.4999313)]
359,CHEMBL1479,[np.float32(7.038702)]
360,CHEMBL896,[np.float32(6.5551596)]
361,CHEMBL51,[np.float32(6.352207)]
362,CHEMBL4559134,[np.float32(6.2603383)]
363,CHEMBL915,[np.float32(nan)]
364,CHEMBL1200762,[np.float32(nan)]
365,CHEMBL570,[np.float32(6.46325)]
366,CHEMBL942,[np.float32(6.413354)]
367,CHEMBL3039504,[np.float32(6.0720253)]
368,CHEMBL639,[np.float32(6.038446)]
369,CHEMBL1006,[np.float32(6.0205374)]
370,CHEMBL370805,[np.float32(6.0141673)]
371,CHEMBL278398,[np.float32(5.916988)]
372,CHEMBL1655,[np.float32(5.8256273)]
373,CHEMBL1233,[np.float32(5.771847)]
374,CHEMBL1764,[np.float32(5.7423544)]
375,CHEMBL3400972,[np.float32(5.6584234)]
376,CHEMBL1697737,[np.float32(5.6347084)]
377,CHEMBL3189072,[np.float32(5.599915)]
378,CHEMBL571546,[np.float32(5.5579877)]
379,CHEMBL71,[np.float32(5.5280113)]
380,CHEMBL121663,[np.float32(5.409051)]
381,CHEMBL317094,[np.float32(5.395752)]
382,CHEMBL1201089,[np.float32(5.3442683)]
383,CHEMBL594,[np.float32(5.3406577)]
384,CHEMBL621,[np.float32(5.2388625)]
385,CHEMBL1200832,[np.float32(5.213006)]
386,CHEMBL1951071,[np.float32(5.1603527)]
387,CHEMBL1619785,[np.float32(5.125203)]
388,CHEMBL1443,[np.float32(4.8970227)]
389,CHEMBL1201346,[np.float32(4.8378196)]
390,CHEMBL1453317,[np.float32(4.8284297)]
391,CHEMBL770,[np.float32(4.789063)]
392,CHEMBL427,[np.float32(4.7760453)]
393,CHEMBL1110,[np.float32(4.716867)]
394,CHEMBL1282,[np.float32(4.653475)]
395,CHEMBL1201735,[np.float32(4.4515)]
396,CHEMBL1200836,[np.float32(4.3937807)]
397,CHEMBL70418,[np.float32(4.377316)]
398,CHEMBL695,[np.float32(4.3643985)]
399,CHEMBL3668014,[np.float32(4.3103104)]
400,CHEMBL1631694,[np.float32(4.284003)]
401,CHEMBL3989695,[np.float32(4.2676797)]
402,CHEMBL1644,[np.float32(4.2529263)]
403,CHEMBL14060,[np.float32(4.189552)]
404,CHEMBL39736,[np.float32(4.1354666)]
405,CHEMBL1560089,[np.float32(4.0450463)]
406,CHEMBL1200764,[np.float32(4.0448494)]
407,CHEMBL43708,[np.float32(3.9885352)]
408,CHEMBL1256841,[np.float32(3.8759198)]
409,CHEMBL36715,[np.float32(3.856597)]
410,CHEMBL1200359,[np.float32(3.8195589)]
411,CHEMBL1455,[np.float32(3.760223)]
412,CHEMBL1436,[np.float32(3.728316)]
413,CHEMBL1412,[np.float32(3.7172344)]
414,CHEMBL1401,[np.float32(3.630181)]
415,CHEMBL1184,[np.float32(3.5330215)]
416,CHEMBL5314373,[np.float32(3.3785663)]
417,CHEMBL528,[np.float32(3.2549276)]
418,CHEMBL1201022,[np.float32(3.1005113)]
419,CHEMBL284348,[np.float32(2.7292523)]
420,CHEMBL582,[np.float32(-6.3616004)]
421,CHEMBL1201033,[np.float32(nan)]
422,CHEMBL1200899,[np.float32(nan)]
423,CHEMBL1097620,[np.float32(nan)]
424,CHEMBL2107389,[np.float32(7.398291)]
